有线18台,rtmp://59.124.75.130/sat/hk042
TVN,http://50.7.59.216:61980/myplay/cn_1_11015/index.m3u8?key=84797b799ae18d1b
Eleven Sports Plus,http://50.7.59.216:61980/myplay/cn_1_11006/index.m3u8?key=84797b799ae18d1b
Eleven Sports 2,http://50.7.59.216:61980/myplay/cn_1_11007/index.m3u8?key=84797b799ae18d1b
Fx Movie Channel,http://50.7.59.216:61980/myplay/cn_1_11012/index.m3u8?key=84797b799ae18d1b
Crime Investigation,http://50.7.59.216:61980/myplay/cn_1_11013/index.m3u8?key=84797b799ae18d1b
Baby TV,http://50.7.59.216:61980/myplay/cn_1_11014/index.m3u8?key=84797b799ae18d1b
Baby TV,http://47.242.54.220/daili/ce50.php?gun=2&id=Babytv
Life Time,http://50.7.59.216:61980/myplay/cn_1_11017/index.m3u8?key=84797b799ae18d1b
OHK,http://47.242.54.220/daili/ce50.php?gun=3&id=ohk_pye
OHK,http://47.242.54.220/daili/ce50.php?gun=3&id=Ohk
FOX Action Movies,http://47.242.54.220/daili/ce50.php?gun=2&id=Foxactionhd
FOX Crime,http://47.242.54.220/daili/ce50.php?gun=2&id=Foxcrime
FOX Family Movies,http://47.242.54.220/daili/ce50.php?gun=2&id=Foxfamily
FOX Life,http://47.242.54.220/daili/ce50.php?gun=2&id=Foxlife
FOX Movies,http://47.242.54.220/daili/ce50.php?gun=2&id=Foxmovie
Hits Movie,http://47.242.54.220/daili/ce50.php?gun=2&id=Hitsmovie
KIX,http://45.126.83.51/uq2663/h/h07/01.m3u8
LifeTime,http://47.242.54.220/daili/ce50.php?gun=2&id=Lifetime
Thrill,http://47.242.54.220/daili/ce50.php?gun=2&id=Thrill
Warner TV,http://47.242.54.220/daili/ce50.php?gun=2&id=WarnerTV
Discovery Channel,http://47.242.54.220/daili/ce50.php?gun=2&id=Discoveryhd
Nat Geo,http://47.242.54.220/daili/ce50.php?gun=2&id=Natgeo
Nat Geo Wild,http://47.242.54.220/daili/ce50.php?gun=2&id=Natgeopeople
Animax,http://47.242.54.220/daili/ce50.php?gun=2&id=Animax
Boomerang,http://47.242.54.220/daili/ce50.php?gun=2&id=Boomerang
Cartoon Network,http://47.242.54.220/daili/ce50.php?gun=2&id=Cn
CBeebies,http://47.242.54.220/daili/ce50.php?gun=2&id=Cbeebies
Disney Channel,http://47.242.54.220/daili/ce50.php?gun=2&id=Disneyxd
Nick Jr,http://47.242.54.220/daili/ce50.php?gun=2&id=Nickjr
Nickelodeon,http://47.242.54.220/daili/ce50.php?gun=2&id=Nickelodeon
AFN,http://47.242.54.220/daili/ce50.php?gun=2&id=Afc
Channel V,http://47.242.54.220/daili/ce50.php?gun=2&id=ChannelV
Channel V,https://htv-drm-live-cdn.fptplay.net/CDN-FPT02/CHANNELV--1080p
KBS World,http://47.242.54.220/daili/ce50.php?gun=2&id=KBS
Sony ONE,http://47.242.54.220/daili/ce50.php?gun=2&id=SetOne
tVN Movies,http://47.242.54.220/daili/ce50.php?gun=2&id=Tvnmovie
ASTRO iQIYI,http://47.242.54.220/daili/ce50.php?gun=2&id=Qiyi
ASTRO AOD,http://47.242.54.220/daili/ce50.php?gun=2&id=Aod
ASTRO AEC,http://47.242.54.220/daili/ce50.php?gun=2&id=Aec
ASTRO HUA HEE DAI,http://47.242.54.220/daili/ce50.php?gun=2&id=Huahee
